,LABEL,COMMENT
1266,GM,hu tmara darek video jou chhu pan tena jevu banva mate khub vaar lage chhe
1269,GM,Sanjay sir thanks hu tamne ketla samay thi sothto hato mane tamara video khub game che
1271,GM,Va Sanjay Raval ni moj ha
1273,GM,Ankho bund kari ne j prathna thay kem ke e ander betho 6
1275,GM,VA moj VA.... 😊🙏
1279,GM,Wa Bhai wa
1281,GM,Next Gujrat CM Paku Tame j Sir Welcome
1283,GM,rajiv dixit no video banavo saheb
1285,GM,"2016 ma 445 ma thi 36  
 2020 ma 445 ma thi 45 marks...   
 
 evry speech marks bdlay 6 saalu"
1288,GM,Sir mara bhagvan mara mata pita ane tame Karn Hu jivan vise Tamara thij shikyo chu
1291,GM,"safalta ek divas ma nahi pan ek divas jaroor malse 
 ~~meet pravin bhai shimpi"
1292,GM, Hu mari life ma have top jivis thank you sir🙏
1293,GM,Jim banavu che labreri pan banavi che
1298,GM,સંજય ભાઈ બોવજ ફાઈન
1302,GM,"Tamara vichar sara shai 
 Pm mody sahib nai lakho"
1307,GM,tnx tamara thi mari life change thai gayi
1308,GM,Jordar sir
1309,GM,Sir jaldi clg banao Mara jeva mate
1310,GM,Sir please 1 var himmatnagar ma aavo
1311,GM,"Very Nice Speech  
 
 Saheb Surat thi 30 km Bardoli b Aavo"
1312,GM,Saras
1313,GM,Amari school ma aavisakso 🚶💐🤓🛐
1319,GM,Jordar Sanjay Bhai Ravl
1321,GM,Sanjay bhay bovj saru ane sachu bolo cho tame
1322,GM,"Thank you so much  
 My life good karava mate.. 😇"
1326,GM,"Agad dhaso 
 Sukh samrtya and samruddhi  
 Bhagyana shrashthao"
1332,GM,"Aa bhai faltu movie joy gayache...35%vala ne admission malse ,are ena karta coaching chalu karo 35 % shu karva aave"
1336,GM,Me pan love marriage karya chhe atyare Mari wife no samay chhe to amne mane laat Mari pan maa baap a mane sidho rasto batavyo.
1337,GM,Prem atale su Sanjay Bhai..?prem atale a bhram chhe life ma savthi pahela kharekhar to maa baap nej karvo joia bas hu to asamji gyo.baki lover bover badha jaay tell leva.
1340,GM,Sir Amara school ma aavso
1342,GM,Bjp na kem virodhi chho tame
1358,GM,Koi k di padharo valsad ma...
1359,GM,Palanpur to hero
1364,GM,Sanjay raval plz tame mane massage karo mulakat levi che
1366,GM,Nice speech sir👌👍🤩
1367,GM,5000 sopadi vashi tamane yadrey bathu sar 😁😁
1374,GM,Kharekhar sanjay bhai Love patan
1381,GM,Rano Rana ni rite
1384,GM,Bhraman no chhokro thai ne waiter nu kam karto too 
1389,GM,Bapu jor dar
1390,GM,Ame pan krisu sange life good sir
1392,GM,app e best kahyu bhraman thaine aa work karyu..
1394,GM,Sir please tame diu aavo
1398,GM,Sir app best motivational...ne ape je karyu e sayad koik j samaj kedvi sake…
1399,GM,ha sanjay bhai raval
1405,GM,Vah sanjaybhai
1408,GM,Save khotoj che
1410,GM,"Ek takor se mara mota bhai Mangadh no Itihas ane Dhadh Pal no Itihas Saheb, I love you"
1414,GM,wah sanjaybhai wah
1416,GM,Va sanjaybhai raval va bhle aa dharti par janm lidho tame dhanyawad ae mata ne pn jamne tamne janam aapyo
1417,GM,BEST KARO
1422,GM,india ma ava j bhara dofa
1423,GM,Rajkot ma aavo plz sanjay bhai
1424,GM,Sanjaybhai mare tamari mulakat leve se
1426,GM,tamane dhany se.
1427,GM,"amare school  avi sako cho 
 ser"
1428,GM,Hamojjjj
1429,GM,Aane kehvay mahan manash 🙏🙏🙏🙏🙏🙏🙏🙏🙏
1435,GM,Wah mara   bhu dev   tamaro  no 1 fan s  chhu  kyarek mari upar nazar kar jo pankaj b .bhatt virar    w
1438,GM,Ha mara uncle ni moj ha
1439,GM,Ha uncle ha
1440,GM,Wow  yrrrrr
1441,GM,Sir Botad ma avo v.m. sakriya mahila College ple sir aavo bove jarur chhe Tamra motivation ni
1443,GM,Magaj nu dahi kari nakhyu movie ae to😅
1445,GM,Maja avi gy
1448,GM,Gujuubhai the garet move muko ne plz
1450,GM,Gujjubhai Bv j mst chhe  too much comedy👌👌👌
1451,GM,Gujjubhai the great upload kro. Pls
1452,GM,Have taro varo ..Bol 😃😃
1457,GM,Kevu pade ho baki gujrati etl gujrati…
1458,GM,Bhale ne pachhi Pakistan kem no vy jay...tya thi pn pachha aavta ry em chhieee....😂🤣......good 👍😎😎😎
1459,GM,1 no movie che bhai
1471,GM,Papa tamne nahi samjaya plis 🎥
1472,GM,Gujjubhai the great muvie aplod karo
1474,GM,Navi film ghani aavi gai chhe pan you tube ma kem jova nathi malti??????😞😞😞😞😞😞😞😞😞😞😞?
1479,GM,Training wagar je rasto kadhe.e sacho gurjati sahi kaha boss
1484,GM,Chal jivi laiye full movie mukone bhai
1485,GM,Gajab movie
1487,GM,"Wov  
 Bv mst picture  
 Full comedy"
1495,GM,Natsamrat movie upload kro ne
1501,GM,Chal Jivi Layie Upload Karo Ne Plzzz
1510,GM,Mast movie 👌👌👌👌👌🙂
1512,GM,Des mo Morgan jeva pan manso che
1513,GM,Manya Mo na ave tevi story banavi... i proud of you sir.....
1522,GM,HAHAHAHAH
1542,GM,Awesome movei Dil ne addi gayu yar samjay gayu k papa papa hoy che yar I love u papa..💓
1543,GM,Mane bav gami movie NIRAV VAISHNAV
1544,GM,Kubjsars moive che hard teaching
1545,GM,Ek shresth Gujarati film
1548,GM, Gujarati Samaj Mate ek moti Disha Malshe.
1555,GM,Sache radai didho yaar...
1557,GM,Heart touching movie yarrrr ..i think aaa baddhij family ne dekhvu joiye
1571,GM,bahuj mast picture .ak pitano prem batavyo 6.thanks for all vantilator team
1573,GM,Khal kuaa ni vaat 🙃🙃🙃🙃🙃😊😊 ×
1576,GM,"Jya vase Sanskar, prem ane lagani etle maru ahmedabad gujarat......"
1597,GM,Ani maa ne Manjula.......pakku Gujarati baira nu carrector
1599,GM,Have biji Gujarati movie upload Karo
1610,GM,Bav Saras ane Bav Samajva Jevu Movie che.
1613,GM,Dil khush thai gayu
1614,GM,Superbe ♥️baap to baap j hoi che boss ♥️
1619,GM,Hu Garv thi kahish Hu Gujarati chhu jay jay garvi Gujarati
1621,GM,Akha film ma gijudada nu modhu last ma dekhadyu.
1625,GM,Ventilator movie joradar...
1631,GM,Ek number video .
1634,GM,Rajvadi chai Ame manber rahiye movie utube par mu kone
1636,GM,Bhujjjj Mast Movie ....Maja Aavi Gai....Bakiii Thanks  #Shemaroome
1637,GM,1 no. movie.bhai aavi movie na hoi duniya ma.
1638,GM,Chal jeevi laiye movie nakho ne tamari chenal ma
1639,GM,Full movies mokalo plz plz
1640,GM,Karsandash movie upload  kare  gujarati
1643,GM,Best of laalu full movie kyare avshe
1645,GM,Tamari su thay movi nati maltiii
1647,GM,Must movei
1651,GM,bhai akhi movie nakho ne
1654,GM,Aa app play ma ma Nathi avati😢
1655,GM,Full movie nathi
1656,GM,Mast👌👍
1657,GM,Supari lLala y
1660,GM,આ app ma picture nathi aavti
1662,GM,Ahi movie nakhu
1664,GM,Please upload Su thyu?   Movie
1667,GM,chello divas movis uplod karo
1670,GM,Jem viki ne jagade chhe tem mari mummy mne roj school java mate jagade chhe 😜😜😝😝😝😝😉😉😉😉
1672,GM,Bhai shu thayu? Movie upload Karo.
1679,GM,K Fagans
1680,GM,Ekdum Zakassss
1682,GM,"bhai ""shu thayu"" movie to upload karo"
1687,GM,Aakhi movie nakho ne
1691,GM,Full movie nakho ne yarr
1692,GM,Jordar che movie
1695,GM,Best ho
1696,GM,Te Coffee Kem Na mangavi 😂😂
1697,GM,Hisab ma pisab kar...😂😂
1698,GM,Aa movie full HD ma muko
1700,GM,Ek radha ek mira full hd movie uplod karo
1714,GM,Krishh movie nu background music mukyu che aama
1720,GM,Jordar
1723,GM,Kevu pade Vikram bhai
1725,GM,Aatlu...mast...movie...che...ho 
1726,GM, Pan...aama...gito...kem...Nathi...mara...vala...gito...vagar...to...kai...na...sobhe...ho.. 
1733,GM,Jordar
1734,GM,Jordar movie
1745,GM,Jakkas
1746,GM,Ha moj ha
1747,GM,Jalsakro
1749,GM,Patel Pacho Na Pade Thakor Koi Thi Naa Dare...Movie Upload Karo....
1751,GM,Jordar movie
1763,GM,Ha Mara thakor ha
1767,GM,Ha thakor ha
1769,GM,ha
1771,GM,waaaaa vikram bhai gjb ni mano tame gujrat naaa super star tho tmi cho
1772,GM,Aa song ma Mamta Soni j chale bhai Reena Soni Na chale
1774,GM,Suppar song aa git joine to ruvata ubha thai gaya
1782,GM,Jordar song
1783,GM,Movie kayre aavse
1784,GM,Ha bhai
1785,GM,Sachu
1787,GM,Jordar 6 bhai
1788,GM,Movie apo
1791,GM,Ha Thakor
1795,GM,Ravi thakor nu git bnavo
1805,GM,Jordar Song
1808,GM,"Reena ji tamari pan acting mast hoy che, chahe a film hoy ke album song"
1809,GM,Song na ek ek shabdo pan mast che
1816,GM,Thakor ni moj
1818,GM,Super vala
1830,GM,Havaj haaa
1839,GM,bhaio ane behno comments ne etli like karo k bane etlu jaldi part 2 bane🙏
1842,GM,Aa movie no part 2 jaldi banao.
1844,GM,Bijo part jaldi lavo
1846,GM,Part 2 kyera aavse? 
1852,GM,Directorsaheb tame Gujraticomunity. Na swasth rhadyani aashao ane Ena class ni  rupantar ghnu saras karyu
1857,GM,2nd part kyare aavse..??? 2020 aavi gayu
1859,GM,"Bijo bhag kiyare avse 
 Prasanality develop no"
1860,GM,1k kapti manso e dislike karyu lage che.
1864,GM, Chal man jitva Jaie...
1866,GM,Jaldi release karo
1871,GM,2020 aavi gyu but part 2 no aaivo
1872,GM,"Ano 2ed part kyare avshe  
 "
1877,GM,"Aa koi lekhak Ni nanpan ma 9th,ya 10th ma vachel Gujarati path ma thi vachelo path ma thi inspired thyel jaroor Lage,l"
1884,GM,Part 2 kyare avse?
1889,GM,Kharekhar jordar 1nob move che mst
1891,GM,.bovj Maja aavti hati jovani pan last ma over acting e badhu bagadi nakhu.........
1893,GM,Dev e last ma je acting Kari bovj over Che......
1899,GM,1 number movie…
1900,GM,At lest inform to karo part 2 kyare aavse?????
1904,GM, Reliance Power ane rcomm  thi hajaro lokona repees luti Reliance ni brand value negative Kari didhi Anil Ambani ae.
1915,GM, Anaa jevi movie me kyarey nthi joi just love it.
1916,GM,"Saaheb,  bauvaj inspirational movie che !!!!!!!!!!!!!!!!!! Hats off"
1921,GM,Part 2 kyare avse plz say as
1922,GM,Are malik 2018 pn puru 2019 pn puru thva avi gyu have kyare avse have bijo part
1925,GM,A kon vaghro che  1:48:20  ne agal
1928,GM,SECOND PART KYA CHE
1930,GM,Kya che bijo part??? Yet not in 2019
1933,GM,Aa movie no 2jo Bag Aavo j joy he...
1935,GM,Part 2 banyo કે nai?
1941,GM,Adbhut movie 6e je aapdne koi pn paristhiti ma jivva mate margdarshait  kre 6e.......
1948,GM,Yar have wait nathi thato please 2 ND part lavo please
1955,GM,. PLEASE 2nd PART JALDITHI RELEASE KARO.
1978,GM,Mane Kai khas na gami aa film Jo koi ne khotu lagyu hoi to I'm so sorry
1985,GM,Original shu name 6 daskaka nu
1986,GM,Ek eva vishay ne range madhyo chche
1987,GM, Dass kaka (Dr Tarun Banker) . Maro gaju nathi temna abhinaya nu mulyankan kari shaku.  
1988,GM, Ek khubj saras sandesh and te pan saral sabdo ane bhavo dwara. 
1989,GM, Sahu thi vadhare Dhanyavaad Soor Mandir na sanchalko ne
1991,GM,Parth to jaane Chochotu tarike  Jivi gayo.  
1992,GM, jeni samanya filmkaar kalpna pan na kari shake. 
1993,GM," ghate ke temne Himmat Bataadi ne , "
1995,GM,Superub  mast 2 bhag banavo ple
1997,GM,Potani Soor Saadhna na khsetra ni Bahar aavi ne Gujarat na prekshko ne ek SUNDER SWACHCH GUJARATI FILM JOVANI TAK AAPI. 
2000,GM,Khub saras
2003,GM,"Waah waah adbhut 👌👌🇮🇳🇮🇳 
 ""Satya kewa ni himmat ""  
 Shu waat che  
 Supper hit film"
2006,GM,Mast movie...
2007,GM,Mast movie chhe
2009,GM,Thanks ji
2012,GM,Saras
2013,GM,Khub sundar movie
2022,GM,movie.saro masege
2027,GM, super  chotu be cating
2032,GM,Bijo part banavo plizz
2033,GM,Mast filme svats bhart
2034,GM,Part 2 banavo kubaj saras movie 6e
2036,GM,"khub must movie che  
 msg pan must moklyo che 
 jo samje badha tooooooo"
2038,GM,Hu Acting karu chhu  
2044,GM,Movie banavi hoy any thinking pn atlu j saras hoy to 
2049,GM,das kaka ni pan & movies banavyu 6 ae mne bau mast banavyu 6e
2052,GM,Supar mov & chotu ni aekting to bau mast 6e & 
2058,GM,Brts ni jarrorjh nathy ahmedabad ma accident na vadhare Case aa loko najh hoy 6
2063,GM,"Pakado pela ne Ane same avu karo eni sathe , mc eni family nu Chu have, they wer only hope, kill that basterds"
2066,GM,Tame Licence Chek karo khali.  Bus walo vonu Havey licence nathi.
2067,GM,doffa blade su karva kariyu se
2069,GM,Brts na driver no koi vaank nathi
2070,GM,Kya sudhi nirdosh loko ne bhog aapvo padse nalayak sarkar have to jago
2071,GM, Bhagwan banne bhaiyo ni aatma ne Santhi aape .
2073,GM,Phool jeva 3 yuva no bhog lidho bus wala a bus ane khatara bundh Karo badhe speed 30 nij hovi Joye
2074,GM,Om Shanti Mara bhaiyo ne....😭
2075,GM,Lavo bjp pachi bhogwo
2077,GM,Ek be ne trayin
2079,GM,Bhai  Modi che tya su dhi  
2080,GM, Aavu j chale  a  koi ni vat ni samje  
2081,GM, Hawe bus Aa sarkar NE Jad  
2082,GM, Mud mathi ukhadi NE bahar karo  
2083,GM, Toj pari vartan aavse
2084,GM,Gst public mate sari vaat 6
2085,GM,Modi chhokra chhaya kai chheanahi te ne shu fark padvano
2086,GM,Modi modi karo modi badhu sharu kari aapshe aabani aambani ne
2087,GM,Sarkar same LOKSAHI niti apnavo
2088,GM,   pruthvi god chhe fari a divas avse ...samay chakra ne maan apo   bhai 🙏
2089,GM,Roj ice cream khadho hoy pachhi kok di lassi ni moj na ave 
2093,GM,Ek no j dhandho chale chhe.. shah na putra no...
2094,GM,Modi modi bolo bhai
2095,GM,BBC  chenal  modi virodhi che
2099,GM,To pan vote aapti vakhte akkal nahi vapriye ...
2100,GM,Rupiya ne 40 mathi 73 karine bhukh bhega karya che
2101,GM,Modi virodhi channel
2106,GM,Sona na bhav to jovo 40k mandika karan
2107,GM,Badha mandi mandi karta hata pan saheb mandir samzya
2108,GM,Sarkaar j paisa khava ma thi uchi nathi aavti to pachi public baju kem jove....
2109,GM,..... Jyaare eloko na pet bharaase paisa khay ne tyaare j e loko joshe
2111,GM,Modi che to desh ne khada ma javu e pakku j che  ne mumkin che
2115,GM,Mandir mandir karo
2116,GM,Modi Aa Babat ma no chale bhai.arthsastri sivaay koi nu kaam nai Desh chalavo.kok Bhanelo PM hovo joi
2119,GM,haju bjp ne kudi kudi ne vote aapo🤣🤣🤣🤣🤣
2120,GM,badha dhandha  ma have sona par grhan laagyo ne haju helmet  ne license ni hoy tema pan luutvanu chalu che 
2122,GM,public heran thai che sarkar chupj che modi modi loko karta hata ne have bolo....
2123,GM,Modi sarkar ma gst thi pathari fari gai 
2125,GM, India ni khas kari ne BJP aavi pachi 😂 congress MA to badha karodpati hata....
2126,GM,Garibi etale su e to khabaraj na hati.... BBC is like prostitute of Isis
2127,GM,kaam Jane khutatuj nahi.... Ane.... 
2128,GM,BBC ne bahu chinta che.....
2130,GM,Vikas ni umar 6 varas thay
2134,GM,Kyare samjso haju road par aavi jaso tiyare jago jaldi
2135,GM,Vot aapyo che next  time bhul sudhari lejo time che haju
2137,GM,22k boline 18k ape have maro badha
2138,GM,badha showroom mathi leva lagya na na shop vala chutiya banave etle mandi avse j
2139,GM,Soni bhalsal varu Sonu padravi d j atala pan dhadho na Cha la Loko ru na ro k ana choro Sonu chori pan Jay che atala Loko Sona ma rokan na ke ra
2152,GM,Jay modi sarkar
2153,GM,modi ne Marva vala ne bijo jalam levo
2154,GM,tamaru su bagadese kutravo
2159,GM,Bhai politiks o ne to avu avyaj kare che
2165,GM,modi to modi
2168,GM,Ser ne kai no thai bhai..... Jai hind.....
2170,GM,Modi Saheb ne Ghana lokona arshiwad mlela Che mate modine ki n thay
2171,GM,"Gujeatnu nak she  
 modisaheb"
2172,GM,"Gujeatnu nak she  
 modisaheb"
2173,GM,modisahebna lidhe chin desh unchu mathu nai kare
2174,GM,"Koy naa takat hoy to tach kari ne bataoo  
 Sala oo aakhu gujarat teni sathe aakhu gujarat chhe okkk"
2177,GM,Gujarat no sinh
2178,GM,Chodu modi
2179,GM,Feku modi
2183,GM,koi ni takat che MODI no Bal Vanko kare
2188,GM,Jai modi kisi ka bap thi drto nthi
2189,GM,Ser no sikar kutara thi na thay
2190,GM,Modi ne marva vala ne 100 janm leva pade
2194,GM,Congress party jindabad
2196,GM,Aaa badha nyujvada feku 6e chuntani ave 6e etale badha natak kare 6e
2197,GM,"Koi Na Bap ni takat nahi... 
 Modi no kai vanko vall pan na vade ... 
 Aa to aaj kal na chokra o 6e"
2198,GM,Modi nahi Gujarat no sih chhe
2201,GM,Khoti no se
2204,GM,modi ne sutni ave se tayre kem dhamki ave se.
2206,GM,modi na dusman kon hoy aa dekhavo che
2209,GM,Kone aapi dhamki modi ne
2210,GM,Bhai Aa news fuek che
2211,GM,"aa dobane marvo hoy aema sadytrini jrurjno pde  
 aaneto halta tpkavidy"
2212,GM,aaneto khadoj aa desne bhukbhego krse
2215,GM,BJP   Raja
2217,GM,kevanu na hoy mari devay
2218,GM,kutara o bhoke karde nai...
2219,GM,Modi jatej guddo che aene su dhamaki aapvana
2221,GM,Modi huta to dash huta
2225,GM,Desh no kisan
2226,GM,Modi na dusman gaddaroj hoy Modi is best pm
2238,GM,kontrak padha te bandh karayi
2239,GM,plz kontrak padha te na karane loko nokare nathe kare sakta
2240,GM,tenu karan che ke kontrak ma loko ne game teyare pet ma lat mare 😩
2242,GM,Fake news che
2243,GM,Ane akho desh jovano che nakar Modi to modi j che
2244,GM,Gappu
2250,GM,Aamuk ne modi bav nade se
2253,GM,Dabhi jayesh modi no khataro
2256,GM,shiy to shiy j kvevay
2259,GM,Bjp jindabad
2260,GM,Bichara pm saheb
2261,GM,Modi nu kai na bagade wo to bolata rahe marnevala kabhi nahi batata
2262,GM,Indian na. Havaj koi  hatha. Na. Lagavi. Sake.  Jay. Sir. Raam  jay. Modiji
2266,GM,Modi Feku
2269,GM,modi no bal no ukhe Madame.aatngi yono badsha modiji
2275,GM,Modiji ne hindu no raja kem kehva ye se kem ke raja banvya ke bharat surksa rakhi sak koi ni takat Modi marva
2276,GM,Bhai badha comments kare Che Modi tiger Che ..su Modi Insan Nathi ?
2282,GM,havaj chhe modi sir
2291,GM,Badha ne jar bari chhe. Modi ne kay ni thayou ne kay ni thay okk
2295,GM,Madiji tiger se
2297,GM,Jena sir per Santo no Hat hoy ane kae na tay
2298,GM,Ram rakhe ane kon chake
2305,GM,Aa Loko no tofan karavi election jitvano teach chhe
2306,GM,Aa feku election jitva Kai pan kare. Stant Eva kare  k koi abhineta hoi
2307,GM,Haren Pandya ne kone Marya. Te batavo
2308,GM,Khoti vat aantak vadi no bhagidar chhe. Kashmir ma teoni Sathe hata
2310,GM,Publicity mate aa game te kare. Aatli security ma tene koi na Mari shake.
2311,GM,Religion ma tej tofan karavshe
2312,GM,Tene kon mare  tenej  aam public  ne Mari chhe. Feka Mari ne
2313,GM,Modiji jidabad
2314,GM, 100 bar vichar karje   modi bharat deshno Raja chhe
2323,GM, Media paisa mate game te news aapshe. Haji 2019 pahelaa ketlay paid news aavshe
2324,GM,Dhamkio    chhlu  thay  aena  pahela  udavi  do  pakistan  ne
2327,GM,Modiji  bharat  ane  gujrat  ni  san  ban  jan  6e  amara  sih  6e
2328,GM,Modiji  ne  mot  ni  dhamki  aapnar  ne  pakai  mari  nakho    sale  ko  ae  bhart  nahi  sakhi  le
2329,GM,Prttham  dhamki  aapnar  ne  j  sodhvo  pade    chhalavi  na  leso
2330,GM,Darmne garu devani tev chhe bhagvan rakxa kare
2331,GM,KHUD BHAGVAN SHIV EMNA TRISUL SATHE RAKSHA MA CHE J DEVINA NAV NAV DIVASNA UPVAS KRECHE THE DEVIMATA KHUD KHUD ANA BALKNI RAKSHMA CHE HAR HAR MODI GHAR GHAR MODI GOD BLESS HINDUSTAN VANDE MATRAM HAMARI BHAGVANSE PRATHNA APKE SATH HAI MODIJI ZINDABAD BHART MATA KI JAI 
2335,GM,narendrbhai modi mate  hovi jjjjj joea aava neta fari na male
2337,GM,पाकिस्तान ना संध नी सधीमा नो पुरो साथ छे मोदी नो वाण पण नहि उखाडी शके धमकी ऐवा लोको आपे छे जे ऐमने ताकात नथी ऐ लो खराब विचारे छे भारत नु
2340,GM,Modi 🦁 Kai fir na pade
2341,GM,BHARAT MATA KI JAI JAI HIND GOD BLESS HINDUSTAN KE VEER PUTR DESH NA LALDILE PRADHAN SEVAK MODIJI KA BAL BHI CHU NHI SAKTE 
2345,GM,Aavi gayo okat par feku
2346,GM,Bhai tu have gher besh modi
2347,GM,Bjp na manso j modi ne dhamki aape ne Pakistan ne jwabdar ganave
2348,GM,Chokidar chor chhe
2350,GM,Modi  to Modi Che. Bhai
2352,GM,"News 18 
 Gujarati chenal wale modi sab je gade mabese che .te gàde ni kimat bhabar che. Buletpruf hoy che. Bakwash  vatu matkro?"
2355,GM,HrHr .moDI
2357,GM,"Esa  kuch  nahi  hai  
 Ye  natak  hai"
2358,GM,Modi taro baap se lukkhao thay te kari levu
2360,GM, p m trike sawikarva bharat des kayáre nhi  pavan kheđa jo tamat
2361,GM,Modi ji to sinh kevay koi ni aukat nathi modi ji ne touch karvani
2366,GM,sisatám shari gaĺat congress shàchi saty sawikarva nathi mangata Eva manash  
2372,GM,Khali name ane olkhan batavo pa6i jovu 6u
2374,GM,Modi je mara 7 janam leva pade
2379,GM,धमकी  आपवा  वालो   माणस  कोण
2384,GM,Havje che
2385,GM,Khotino chhe.  Modi.  Hathe ne hathe. Ubhu kare chhe.
2389,GM,Bekar news
2390,GM,Modiji ko ne marva takat nathi
2393,GM,Bakwaas news sharam karo godi midiya
2394,GM,Kayo halo modi me dhamki aapwa lo hato
2401,GM,Modar thai jay to saro
2403,GM,"Aava,mhan,mansne,shidthvado,to,santithay"
2413,GM,Koi ni takat nthi vala
2416,GM,BJP. RSS. Modi dhamki aape che.
2417,GM,Fec chhe
2418,GM,khatroto.dusmanonejche.modibapunenahi
2419,GM,Akho des che
2420,GM,हवै आम माणस नी बी खसकैली छै तु जौनै फकीर जौलौ लइनै हालतीनौ नौ थाय तौ हीन्दुस्तानी अमारु नाम नइ
2421,GM,हवै तौ आखा दैस नी पाड काठी नाखी छै दैस त्राही त्राही करै छै नै पौतै अमैरीफा मा भैंकडा ताणै
2422,GM,મારા જોડે  પહેલા આવો પછી મોદી જોડે જજો  આવો તો ખરા
2423,GM,Mari nakho kutariya ne
2427,GM,Modiji ne koi pan  Mari na sake 
2428,GM,feku news
2431,GM,Pakistan.nahoe
2432,GM,mahisagar zillow
2434,GM,Modi su mahatma Gandhi 6 to aeni chinta hoy bhai gunda mare to marvado sali aakhi bhajp chor 6
2437,GM,"घेटां बकरां माटे सिह खतरा रुप छे ,जे मोदी सिह छे"
2438,GM,Ha BJP leader in pa
2446,GM,आतो राजकारण चे केतलाक लोको ने मारी ने  ऊपर आया नेतावो
2447,GM,जे पन होय  वेकति ताकत राखजे जीत तारी थशे मोदी काय भगवान नथी
2448,GM,ઈમરાનખાન નવાબસરીફ છે
2450,GM,No Koy nhai mere mara Modi  ne hu BJP nathi shtao pan Modi Maro super hiro bjp Sarka nfarat kayda thi mane bhuj ghuso she  Me Jesus prayers karuknga My Best fhrand modi
2454,GM,Wah Gujarati ma
2455,GM,Bhai Bhai
2457,GM,"Dungar ,Rajula , Gujarat 😉"
2459,GM,"Mne khabr hati k gujarati 6  
 But first time joya guj ma vaat karta 🤩 
 Nice sir 👍🏻"
2460,GM,ओल India मां आपडा gurati no वट😀😊😀
2465,GM,"Bhai o Indian che inu proud feell karo... 
 Love u himesh"
2467,GM,Gujarati song karo
2469,GM,Ha amara gujrati bhai ni moj
2470,GM,Lyrics toh sacha gaav bhai
2471,GM,Wah Gurati bhai wah Superb😍👌
2473,GM,Ha Maru Gujrat
2474,GM,Ha moj ha
2475,GM,Super gujrati himesh bhai
2482,GM,ગુજ્જુ gujju himesh gujju Bollywood
2483,GM,apde himesh na baw fan bhai pan ek waar moko male to ena banne hath pachad bandhidaw .. baw nade che yaar
2484,GM,E gujrati che ane gujrati bolvama sankoch nathi e mahatva nu che baki bijao eng bolvama gaurav anubhave che. Great.
2485,GM,Ha Gujarati Ha
2486,GM,Mane to khabarj nathi ke himessh Gujarati 6e
2488,GM,Hindi song gata gata gujrati  gito bhuli gaya bhai
2489,GM,Aree wah gujju
2490,GM,Wahh maro gujratt wahh hemesh bhai
2491,GM,Himesh bhai Gujarati songs  banavo  ma Khodiyar manu songs banavo DJ ma
2495,GM,Ha gujrati ha
2496,GM,Himesh bhai shabash bhai freinds
2497,GM,Mane pan
2498,GM," Hemesh rasamiya gujrati chay, soo what?"
2501,GM,Bhai bhai
2505,GM,Tari ankh no afini Tara bol no bandhani tari rup ni poonam no pagal rakho  best luck himesh bhai
2506,GM,Aa bdha asj kal na chokrav ne shock Ty Che ke aa gujju Che 
2507,GM,aa 90 s no hero Che jene 5 year sudhi bdha singer ne berojgar kri didha hta. 
2508,GM, By the way mara gam ma aa dar diwali ma aave Che .
2510,GM,Bollywood ma su bolvu ane su na bolvu sikhi gyo ho bapu...
2511,GM,Wah re gujrati
2512,GM,alya have dilhi pochi jaav 😁😂😁😂😁😂😁
2513,GM,GUJARATI LANGUAGE HIMESH JI NI MAST CHE
2516,GM,Mast lagye chhe
2517,GM,Gujrati MA geet banavo
2518,GM,Wow himesh bhai Gujarati
2521,GM,Himesh resamiyane Gujarati aavde che mane aaje khabar padi🌹🌹🌹
2524,GM,He's not a Gujarati guy (by out of gujarat)😅But he knows Gujarati and how lovely gujarati peoples are
2526,GM,Ha..kathiyavadi.ha
2527,GM,Himesh reshammiya Gujarati bole se  nice
2529,GM,Himesh Bhai Gujarat nu gaurav che
2530,GM,Proud che amne tamara par himesh ji
2532,GM,Vah su vat che himesh bhai Gujarati che 👌👌
2533,GM,Dungar gaam se bhai
2535,GM,"Himesh ji A pan Gujarati ma, jatko lagyo Ho"
2536,GM,Kutch no chhe himesh
2537,GM,vah bhai vah 6u vat 6e
2539,GM,Men men Badhi noto (mahaanhastiAo) Gujrati j che 😂😂😂🙏😜😜😜 proud
2540,GM,Oyyy aree Dofa keto nae Gujju chho😀😀
2542,GM,himesh ek time superstar hata ane aaje pan che chata a aatla saral ane honest che..
2547,GM,Oho himesh sir gujarati che mane to hamna khabar padi
2549,GM,Gujarati hovano garv chhe
2552,GM,su vaat chhe himesh bhai...  
2553,GM,bau down to earth chho tame... 
2555,GM, kharekhar maro tamne jovano najariyo je hato e badlai gayo..   
2565,GM,Oy my good  gujrati  chhe  mane  to  khabr  nathi  good
2569,GM,"most coments in ગુજરાતી,👍"
2574,GM,Gujrati ma vat kari ne aabru kathi nakhi himesh te loko na mann ma thi
2575,GM,"Haa Bhavnagar Ni Moj Haa... 
 "
2576,GM,Himesh fans Subscribe to my channel plz 1k
2580,GM,Himesh bhai gujju 6 a khbar 6 pan gujarti bolata  aaje joya  khubaj garv thay chhe
2581,GM,are aasu himesh bhai gujrati bole che😂😂😂😂😂😂
2582,GM,Ha moj ha
2583,GM,Majbut
2584,GM,Himesh bhai favourite  maro  gujarat  rajwadiyu
2586,GM,Aatlo farak chay gujrati vyakti Hindi bollywood singer bani jaay pachi aapda gujrat na geeto na wording bhuli  jaay😭😔😢
